,count,mean,std,min,25%,50%,75%,max
gdp_per_capita,207.0,20520.336827632207,30640.741594290146,250.634225368744,2599.752468308105,7606.2375253797,27542.145523397397,226052.001905201
total_population,217.0,36713342.12672811,141521136.0040075,9992.0,821637.0,6664449.0,26014399.0,1425423212.0
life_expectancy,209.0,72.41651861360718,7.71332227699169,52.997,66.782,73.5146341463415,78.475,85.377
